,logFC,t,P.Value,adj.P.Val,B,sig
AP1S1,-0.105345880837678,-1.96976858071376,0.0514033515244712,0.0871558600368785,-4.84093373566497,Not
PREP,0.0719603805100162,1.96952973790058,0.0514311284369321,0.0871874868446555,-4.84138563021866,Not
COMMD9,0.115635323327099,1.96801646477466,0.0516074150492577,0.0874573916466792,-4.84424758330631,Not
PDGFA,-0.161161451441558,-1.96800590426498,0.0516086470799104,0.0874573916466792,-4.84426754850695,Not
ZMPSTE24,-0.106491380903194,-1.96768815919778,0.0516457281431911,0.0875047124355203,-4.8448682157019,Not
ARHGAP26,0.067588444826943,1.96691252360476,0.0517363402809726,0.0876426994726067,-4.84633410292003,Not
PRKAB2,-0.114269984892708,-1.96633409894463,0.0518040013836129,0.0877417648390295,-4.84742692772395,Not
TLK2,-0.112423298209492,-1.96549963161501,0.0519017452606548,0.0878917380313338,-4.8490029701183,Not
TBCD,0.0850150175432578,1.96483259269595,0.0519799901494316,0.0880086438462028,-4.85026234600707,Not
ZFP64,-0.0671561593115531,-1.96236599632162,0.0522701958769122,0.088475343528012,-4.85491584820831,Not
COL8A2,-0.141702248448951,-1.96233245782486,0.0522741512724106,0.088475343528012,-4.85497908473838,Not
NDUFA1,-0.0869814701892082,-1.9620597884439,0.052306318221807,0.0885109642585817,-4.85549316303778,Not
SEZ6L2,-0.16561985803318,-1.9619970501612,0.0523137218640089,0.0885109642585817,-4.85561143749861,Not
ZWINT,0.265845109321672,1.96185858828538,0.0523300646675693,0.0885229417531054,-4.85587245392194,Not
PQBP1,0.163821300228175,1.96157608525262,0.0523634222271447,0.0885636925314327,-4.85640495117044,Not
MUS81,0.107881222458634,1.96040710111852,0.0525016458985671,0.0887817604329689,-4.85860764071083,Not
AIP,0.0880129732959993,1.9598455334585,0.0525681569808768,0.0888785046194726,-4.85966535492897,Not
XYLT2,0.10339998302981,1.95955839019786,0.0526021933045207,0.0889203182766672,-4.86020608104468,Not
ARHGEF17,-0.141499586677851,-1.95939936206365,0.0526210516267167,0.088936464334083,-4.86050551886648,Not
MPZL2,0.146991719147936,1.95846215441229,0.0527323066413374,0.0891087395693405,-4.8622697496847,Not
TPPP3,-0.199329850525327,-1.95754426011411,0.0528414621184903,0.0892774066485668,-4.86399686269322,Not
NDUFV1,-0.198147393834711,-1.95734898945654,0.0528647082743236,0.0893008931004836,-4.8643641873782,Not
FHOD3,-0.307526499002757,-1.95715785249242,0.0528874707215725,0.0893235542975162,-4.86472370310767,Not
UVRAG,-0.115878943415694,-1.95538463157228,0.0530990392161859,0.0896534820429069,-4.8680574535051,Not
CYBRD1,0.137085892552954,1.95536336421961,0.0531015810342039,0.0896534820429069,-4.86809742019168,Not
